APT_Email,Presence_Email
R_249_67748,0
R_249_67833,1
R_249_67999,0
R_249_68090,0
R_249_68196,0
R_249_68208,1
R_249_68412,1
R_249_68581,0
R_249_68587,0
R_249_68940,1
R_249_68962,1
R_249_69005,1
R_249_69034,1
R_249_69155,1
R_249_69190,0
R_249_69229,1
R_249_69262,1
R_249_69271,0
R_249_69299,1
R_249_69437,0
R_249_69448,0
R_249_69463,1
R_249_69491,1
R_249_69596,1
R_249_69641,1
R_249_69662,1
R_249_69667,1
R_249_69719,0
R_249_69822,0
R_249_69852,1
R_249_69868,1
R_249_69919,1
R_249_69935,0
R_249_69955,1
R_249_69961,1
R_249_69970,1
R_249_69985,1
R_249_69989,0
R_249_69991,0
R_249_69999,1
R_249_70004,1
R_249_70086,1
R_249_70166,1
R_249_70209,1
R_249_70268,0
R_249_70277,1
R_249_70284,1
R_249_70300,0
R_249_70410,0
R_249_70510,1
R_249_70580,1
R_249_70609,0
R_249_70646,0
R_249_70699,1
R_249_70700,0
R_249_70784,1
R_249_70808,1
R_249_70826,1
R_249_70872,1
R_249_70923,1
R_249_70938,1
R_249_70940,1
R_249_70959,0
R_249_70964,0
R_249_71027,1
R_249_71064,0
R_249_71083,1
R_249_71091,1
R_249_71116,1
R_249_71119,0
R_249_71149,1
R_249_71173,1
R_249_71200,1
R_249_71214,1
R_249_71224,1
R_249_71257,0
R_249_71296,0
R_249_71321,1
R_249_71497,1
R_249_71602,1
R_249_71659,1
R_249_71756,1
R_249_71760,1
R_249_71800,0
R_249_71825,1
R_249_71827,1
R_249_71852,0
R_249_71859,1
R_249_71868,1
R_249_71873,1
R_249_71882,0
R_249_71891,0
R_249_71897,1
R_249_71904,0
R_249_71918,1
R_249_71929,1
R_249_71962,1
R_249_71990,0
R_249_72038,1
R_249_72114,1
R_249_72137,1
R_249_72156,1
R_249_72157,0
R_249_72186,1
R_249_72339,1
R_249_72401,1
R_249_72406,0
R_249_72427,0
R_249_72526,1
R_249_72534,0
R_249_72542,1
R_249_72544,0
R_249_72567,1
R_249_72573,0
R_249_72586,1
R_249_72603,0
R_249_72609,0
R_249_72612,1
R_249_72630,0
R_249_72709,1
R_249_72748,1
R_249_72792,1
R_249_72837,0
R_249_72858,1
R_249_73115,1
R_249_73217,0
R_249_73270,1
R_249_73280,0
R_249_73296,0
R_249_73302,1
R_249_73322,1
R_249_73387,1
R_249_73391,1
R_249_73397,0
R_249_73522,1
R_249_73646,1
R_249_73724,0
R_249_73725,1
R_249_73758,1
R_249_73769,1
R_249_73812,1
R_249_73821,0
R_249_73926,0
R_249_73940,1
R_249_73945,1
R_249_73987,0
R_249_74066,0
R_249_74076,0
R_249_74077,1
R_249_74087,0
R_249_74131,1
R_249_74154,0
R_249_74161,1
R_249_74202,0
R_249_74216,1
R_249_74236,1
R_249_74304,1
R_249_74487,1
R_249_74496,1
R_249_74520,1
R_249_74558,1
R_249_74588,1
R_249_74603,1
R_249_74663,1
R_249_74758,1
R_249_75186,1
R_249_75204,0
R_249_75210,1
R_249_75214,0
R_249_75237,1
R_249_75248,1
R_249_75283,1
R_249_75304,0
R_249_75347,1
R_249_75376,1
R_249_75423,1
R_249_75522,0
R_249_75526,1
R_249_75541,1
R_249_75547,0
R_249_75548,1
R_249_75631,0
R_249_75671,1
R_249_75703,1
R_249_75730,1
R_249_75778,1
R_249_75806,1
R_249_75865,0
R_249_75867,1
R_249_75933,1
R_249_75937,0
R_249_76007,1
R_249_76056,0
R_249_76124,1
R_249_76180,1
R_249_76202,1
R_249_76344,0
R_249_76512,1
R_249_76558,1
R_249_76747,0
R_249_77118,1
R_249_77166,0
R_249_77226,0
R_249_77257,1
R_249_77265,1
R_249_77354,1
R_249_77371,1
R_249_77377,0
R_249_77378,1
R_249_77486,0
R_249_77521,1
R_249_77690,1
R_249_77747,1
R_249_77748,1
R_249_77755,0
R_249_77777,0
R_249_77826,1
R_249_77913,1
R_249_77914,0
R_249_77933,0
R_249_77991,1
R_249_78024,1
R_249_78056,0
R_249_78122,0
R_249_78170,1
R_249_78298,1
R_249_78348,1
R_249_78384,0
R_249_78409,1
R_249_78425,0
R_249_78438,0
R_249_78442,1
R_249_78461,1
R_249_78500,1
R_249_78522,0
R_249_78525,1
R_249_78526,1
R_249_78539,1
R_249_78559,1
R_249_78572,0
R_249_78594,0
R_249_78613,0
R_249_78616,0
R_249_78619,0
R_249_78631,1
R_249_78653,0
R_249_78668,0
R_249_78680,0
R_249_78722,0
R_249_78772,1
R_249_78778,1
R_249_78810,1
R_249_78821,1
R_249_78855,1
R_249_78922,1
R_249_78965,1
R_249_78980,0
R_249_79013,1
R_249_79058,1
R_249_79064,1
R_249_79070,1
R_249_79071,1
R_249_79166,1
R_249_79175,1
R_249_79177,1
R_249_79247,1
R_249_79265,1
R_249_79422,1
R_249_79429,1
R_249_79480,0
R_249_79690,1
R_249_79822,1
R_249_80108,1
R_249_80109,1
R_249_80194,1
R_249_80219,1
R_249_80270,1
R_249_80373,1
R_249_80518,0
R_249_80522,1
R_249_80559,0
R_249_80636,1
R_249_80863,1
R_249_80972,0
R_249_80976,1
R_249_80981,0
R_249_81082,1
R_249_81134,0
R_249_81139,0
R_249_81186,1
R_249_81189,1
R_249_81198,1
R_249_81201,1
R_249_81207,0
R_249_81215,1
R_249_81262,1
R_249_81292,1
R_249_81293,1
R_249_81353,1
R_249_81363,1
R_249_81383,1
R_249_81396,1
R_249_81436,1
R_249_81456,1
R_249_81462,0
R_249_81468,1
R_249_81542,0
R_249_81543,1
R_249_81550,1
R_249_81557,0
R_249_81562,0
R_249_81563,1
R_249_81592,0
R_249_81600,1
R_249_81633,1
R_249_81665,1
R_249_81702,1
R_249_81715,1
R_249_81767,1
R_249_81831,0
R_249_81863,1
R_249_81935,1
R_249_81962,1
R_249_82012,1
R_249_82015,0
R_249_82032,1
R_249_82036,1
R_249_82125,1
R_249_82127,1
R_249_82153,1
R_249_82158,1
R_249_82179,1
R_249_82201,1
R_249_82253,1
R_249_82255,1
R_249_82283,1
R_249_82338,1
R_249_82424,1
R_249_82502,0
R_249_82533,1
R_249_82551,1
R_249_82620,0
R_249_82663,1
R_249_82699,1
R_249_82757,1
R_249_82773,0
R_249_83051,1
R_249_83069,0
R_249_83089,0
R_249_83094,1
R_249_83099,1
R_249_83127,1
R_249_83138,1
R_249_83143,1
R_249_83193,0
R_249_83205,1
R_249_83257,1
R_249_83265,1
R_249_83302,1
R_249_83333,1
R_249_83359,0
R_249_83378,1
R_249_83386,1
R_249_83417,1
R_249_83428,1
R_249_83429,1
R_249_83472,0
R_249_83476,1
R_249_83533,1
R_249_83546,1
R_249_83580,1
R_249_83585,1
R_249_83591,0
R_249_83627,0
R_249_83704,0
R_249_83707,0
R_249_83739,0
R_249_83753,1
R_249_83830,1
R_249_83831,1
R_249_83841,0
R_249_83877,1
R_249_83894,0
R_249_83987,0
R_249_83987,0
R_249_84012,1
R_249_84025,0
R_249_84051,0
R_249_84329,1
R_249_84366,1
R_249_84379,0
R_249_84389,1
R_249_84395,1
R_249_84447,1
R_249_84467,0
R_249_84473,1
R_249_84483,1
R_249_84488,1
R_249_84516,1
R_249_84560,0
R_249_84636,1
R_249_84641,1
R_249_84684,1
R_249_84686,1
R_249_84851,1
R_249_84854,0
R_249_84878,1
R_249_84883,0
R_249_85017,1
R_249_85099,1
R_249_85127,1
R_249_85131,0
R_249_85167,1
R_249_85175,0
R_249_85180,1
R_249_85244,0
R_249_85247,1
R_249_85262,1
R_249_85271,1
R_249_85305,1
R_249_85351,1
R_249_85391,1
R_249_85417,0
R_249_85433,1
R_249_85474,0
R_249_85482,0
R_249_85489,1
R_249_85561,1
R_249_85564,1
R_249_85575,1
R_249_85576,1
R_249_85579,0
R_249_85594,1
R_249_85600,1
R_249_85642,1
R_249_85651,0
R_249_85666,0
R_249_85793,0
R_249_85845,0
R_249_85887,1
R_249_85922,0
R_249_85929,1
R_249_85994,1
R_249_86081,1
R_249_86155,1
R_249_86161,0
R_249_86183,1
R_249_86209,0
R_249_86278,0
R_249_86374,1
R_249_86460,0
R_249_86466,1
R_249_86528,1
R_249_86550,1
R_249_86556,1
R_249_86629,0
R_249_86648,1
R_249_86662,0
R_249_86664,1
R_249_86677,0
R_249_86708,1
R_249_86743,1
R_249_86770,0
R_249_86790,1
R_249_86864,1
R_249_86887,1
R_249_86893,1
R_249_86914,0
R_249_86956,1
R_249_86993,0
R_249_87015,1
R_249_87047,1
R_249_87056,0
R_249_87119,1
R_249_87135,1
R_249_87157,0
R_249_87170,0
R_249_87178,1
R_249_87241,1
R_249_87251,1
R_249_87417,1
R_249_87468,0
R_249_87499,0
R_249_87522,1
R_249_87690,1
R_249_87717,1
R_249_87749,1
R_249_87755,1
R_249_87779,0
R_249_87788,0
R_249_87797,1
R_249_87804,0
R_249_87809,1
R_249_87814,1
R_249_87824,1
R_249_87842,1
R_249_87860,1
R_249_87873,0
R_249_87893,1
R_249_87944,1
R_249_87966,1
R_249_87976,0
R_249_87999,0
R_249_88001,1
R_249_88019,1
R_249_88048,1
R_249_88128,1
R_249_88174,0
R_249_88175,1
R_249_88219,0
R_249_88431,1
R_249_88452,1
R_249_88644,1
R_249_88653,1
R_249_88656,1
R_249_88746,1
R_249_88767,1
R_249_88778,1
R_249_88879,1
R_249_88894,1
R_249_88922,0
R_249_88925,0
R_249_88944,1
R_249_88989,1
R_249_89002,1
R_249_89014,0
R_249_89020,1
R_249_89031,1
R_249_89073,1
R_249_89101,1
R_249_89113,0
R_249_89143,0
R_249_89156,0
R_249_89174,1
R_249_89175,0
R_249_89183,0
R_249_89202,1
R_249_89229,1
R_249_89230,0
R_249_89240,1
R_249_89255,1
R_249_89256,1
R_249_89278,1
R_249_89307,1
R_249_89312,0
R_249_89347,1
R_249_89365,0
R_249_89408,1
R_249_89411,1
R_249_89446,0
R_249_89448,0
R_249_89459,1
R_249_89494,1
R_249_89503,1
R_249_89520,1
R_249_89525,0
R_249_89543,1
R_249_89552,1
R_249_89557,1
R_249_89564,1
R_249_89581,0
R_249_89608,1
R_249_89631,1
R_249_89689,1
R_249_89718,0
R_249_89791,0
R_249_89884,1
R_249_89931,1
R_249_89989,0
R_249_89996,1
R_249_90011,1
